question,answer,result1,result2,result3
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,여행 목적지의 다양한 관광지와 놀거리,모험가형,음식 여행형,
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,여행 중 인생샷과 사진을 나믹는 것,자유 여행형,,
여행을 할 때 가장 중요하게 고려하는 것은 무엇인가요?,여행 기간 동안의 휴식과 여유,휴양형,,
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,여행 가이드북,문화 체험형,음식 여행형,
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,소설,문화 예술형,,
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,자기계발서,휴양형,,
여행을 할 때 어떤 종류의 책을 가지고 가고 싶나요?,만화책,모험가형,,
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,특산품 및 기념품,자유 여행형,음식 여행형,
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,유명 브랜드의 쇼핑몰,휴양형,,
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,지역 시장 및 벼룩시장,문화 체험형,문화 예술형,
여행을 할 때 어떤 종류의 쇼핑을 선호하시나요?,수공에품 및 공예체험,문화 예술형,문화 체험형,
